doy,mean,p10,p50,p90,mean_pv,p10_pv,p50_pv,p90_pv
179,5.637,4.187,5.792,6.709,0.812,0.603,0.834,0.966
180,5.571,3.853,5.731,6.66,0.802,0.555,0.825,0.959
181,5.564,4.222,5.719,6.66,0.801,0.608,0.824,0.959
182,5.487,3.751,5.655,6.626,0.79,0.54,0.814,0.954
183,5.392,3.622,5.6,6.61,0.776,0.522,0.806,0.952
184,5.324,3.622,5.533,6.583,0.767,0.522,0.797,0.948
185,5.303,3.622,5.533,6.495,0.764,0.522,0.797,0.935
186,5.255,3.692,5.45,6.449,0.757,0.532,0.785,0.929
187,5.219,3.813,5.447,6.184,0.752,0.549,0.784,0.89
188,5.223,3.954,5.447,6.184,0.752,0.569,0.784,0.89
189,5.199,3.954,5.263,6.184,0.749,0.569,0.758,0.89
190,5.137,3.954,5.236,6.184,0.74,0.569,0.754,0.89
191,5.14,4.102,5.16,6.166,0.74,0.591,0.743,0.888
192,5.17,4.287,5.216,6.166,0.744,0.617,0.751,0.888
193,5.171,4.287,5.216,6.13,0.745,0.617,0.751,0.883
194,5.108,4.22,5.145,6.13,0.736,0.608,0.741,0.883
195,5.13,4.287,5.157,6.13,0.739,0.617,0.743,0.883
196,5.128,4.22,5.192,6.082,0.738,0.608,0.748,0.876
197,5.086,4.136,5.192,6.033,0.732,0.596,0.748,0.869
198,4.986,3.844,5.157,6.0,0.718,0.554,0.743,0.864
199,4.907,3.489,5.157,5.983,0.707,0.502,0.743,0.862
200,4.856,3.489,5.069,5.854,0.699,0.502,0.73,0.843
201,4.823,3.324,5.069,5.811,0.695,0.479,0.73,0.837
202,4.825,3.324,5.102,5.811,0.695,0.479,0.735,0.837
203,4.81,3.324,5.069,5.718,0.693,0.479,0.73,0.823
204,4.763,3.324,5.025,5.718,0.686,0.479,0.724,0.823
205,4.749,3.324,5.032,5.684,0.684,0.479,0.725,0.818
206,4.703,3.324,4.981,5.695,0.677,0.479,0.717,0.82
207,4.64,3.298,4.704,5.684,0.668,0.475,0.677,0.818
208,4.571,3.298,4.609,5.656,0.658,0.475,0.664,0.814
